CTUID,cisr_dim1,cisr_dim2,cisr_dim3,cisr_score,cisr_quintile,cisv_dim1,cisv_dim2,cisv_dim3,cisv_dim4,cisv_score,cisv_quintile
5350376.06,0.1888,0.058,-3.6348,-1.1293,1.0,5.1203,8.0101,-1.1061,-1.8468,2.5444,5.0
5350376.08,0.4805,0.2258,-0.2152,0.1637,3.4286,2.1991,0.3266,0.1801,-1.2999,0.3515,4.1429
5350376.09,0.1875,0.0669,-0.1377,0.0389,3.3333,3.0097,0.7456,0.4312,-1.655,0.6329,4.6667
5350376.11,0.3789,-0.5888,-0.0347,-0.0815,2.5,2.6497,0.3967,0.701,-0.9873,0.69,4.75
5350376.12,0.9413,0.3202,-0.6216,0.2133,3.5,1.8134,0.6041,-0.272,-1.0746,0.2677,3.75
5350376.13,0.5688,0.4181,-0.5211,0.1553,3.6,2.9638,1.2971,-0.0196,-1.924,0.5793,4.6
5350376.14,-0.0139,0.3901,0.1954,0.1905,3.4,2.9611,0.5194,0.9133,-2.5572,0.4591,5.0
5350376.15,0.6724,0.3394,-0.8319,0.06,3.3333,2.6612,1.3384,-0.1719,-1.3688,0.6147,4.6667
5350376.16,0.7721,-1.3727,0.0253,-0.1918,2.0,3.2644,1.2141,-0.515,1.0107,1.2436,5.0
5350377.02,0.4032,0.098,-0.2998,0.0671,3.1111,2.2318,0.5471,0.4054,-1.9568,0.3069,4.1111
5350377.03,0.4133,0.4361,-0.7864,0.021,3.0,2.1985,0.6772,0.6599,-1.9048,0.4077,4.4
5350377.04,-0.2776,-0.0629,-0.1352,-0.1586,2.7,3.1757,0.4856,1.0763,-2.1233,0.6536,4.7
5350377.06,-0.7146,-0.1243,0.5342,-0.1015,2.8,3.7745,0.7857,1.4072,-2.9746,0.7482,5.0
5350377.07,-0.5801,-0.1728,0.345,-0.136,2.6667,3.4073,0.7215,1.3423,-2.5747,0.7241,5.0
5350377.08,0.3035,0.1924,-0.0441,0.1506,3.5,2.5952,0.6035,0.3125,-1.8097,0.4254,4.25
5350377.09,0.7832,-1.2766,1.7175,0.4081,4.0,3.103,-0.669,-0.8716,1.0196,0.6455,5.0
5350378.02,0.1917,-0.1924,-0.4581,-0.1529,2.6,2.6507,0.4232,0.7676,-1.1226,0.6798,4.8
