CTUID,temperature_c,apparent_temp_c,precipitation_mm,wind_speed_kmh,wind_gusts_kmh,weather_code,heat_days_per_yr,hot_days_per_yr,frost_days_per_yr,freezing_days_per_yr,annual_precip_mm,heavy_rain_days_per_yr,max_24h_precip_mm,max_wind_gust_kmh,mean_summer_tmax,in_flood_zone
5350576.49,22.3,23.8,0.0,11.4,14.4,0,,,,,,,,,,False
5350576.5,22.4,23.9,0.0,11.4,14.4,0,,,,,,,,,,False
5350442.04,21.5,24.1,0.0,4.2,11.9,0,,,,,,,,,,False
5350442.05,21.5,24.1,0.0,4.2,11.9,0,,,,,,,,,,False
5350442.06,21.1,23.6,0.0,4.9,12.2,0,,,,,,,,,,False
5350420.14,21.8,24.5,0.0,6.6,13.7,0,,,,,,,,,,False
5350420.15,21.6,24.4,0.0,6.4,8.6,0,,,,,,,,,,False
5350400.03,21.4,24.5,0.0,5.3,7.6,1,,,,,,,,,,False
5350402.04,21.9,24.6,0.0,8.2,9.4,0,,,,,,,,,,False
5350402.05,22.0,24.8,0.0,8.2,9.4,0,,,,,,,,,,False
5350402.06,22.1,24.8,0.0,7.9,9.4,0,,,,,,,,,,False
5350402.07,21.7,24.5,0.0,6.4,8.6,0,,,,,,,,,,False
5350402.08,21.6,24.4,0.0,6.4,8.6,0,,,,,,,,,,False
5350412.01,21.8,23.9,0.0,11.1,14.8,0,,,,,,,,,,False
5350412.02,22.1,24.3,0.0,10.5,14.0,0,,,,,,,,,,False
5350421.01,21.9,24.6,0.0,6.6,13.7,0,,,,,,,,,,False
5350423.01,21.5,23.8,0.0,6.6,14.0,0,,,,,,,,,,False
5350423.02,21.2,23.5,0.0,7.0,14.8,0,,,,,,,,,,False
5350442.02,21.5,24.0,0.0,5.1,14.0,0,,,,,,,,,,False
5350500.01,18.2,20.2,0.0,9.7,14.0,0,,,,,,,,,,False
5350500.02,17.4,19.2,0.0,10.1,13.7,0,,,,,,,,,,False
5350501.01,18.6,20.8,0.0,8.5,16.6,0,,,,,,,,,,False
5350501.02,17.6,19.5,0.0,9.5,14.8,0,,,,,,,,,,False
5350502.01,18.5,20.7,0.0,8.5,16.6,0,,,,,,,,,,False
5350502.02,18.5,20.6,0.0,9.1,15.8,0,,,,,,,,,,False
5350505.01,18.8,20.9,0.0,9.9,14.8,0,,,,,,,,,,False
5350505.02,17.6,19.5,0.0,9.5,14.8,0,,,,,,,,,,False
5350509.01,18.5,20.4,0.0,10.6,13.7,0,,,,,,,,,,False
5350509.02,17.2,19.0,0.0,10.1,13.7,0,,,,,,,,,,False
5350511.01,18.0,20.0,0.0,9.7,14.0,0,,,,,,,,,,False
5350511.02,18.0,20.0,0.0,9.7,14.0,0,,,,,,,,,,False
5350513.01,18.7,20.8,0.0,9.9,14.8,0,,,,,,,,,,False
5350513.02,19.0,21.0,0.0,10.3,14.0,0,,,,,,,,,,False
5350513.03,18.0,20.0,0.0,9.7,14.0,0,,,,,,,,,,False
5350516.01,20.5,22.6,0.0,12.6,16.2,0,,,,,,,,,,False
5350516.02,21.0,23.2,0.0,13.1,16.2,0,,,,,,,,,,False
5350516.03,21.1,23.3,0.0,13.1,16.2,0,,,,,,,,,,False
